index	rise	run
0	0	5
1	0	5
2	0	5
3	0	5
4	0	5
5	0	5
6	0	5
7	0	5
8	0	5
9	0	5
10	0	5
11	0	5
12	1	5
13	1	5
14	1	5
15	1	5
16	1	5
17	1	5
18	1	5
19	1	5
20	1	5
21	1	5
22	1	5
23	1	5
24	2	4
25	2	4
26	2	4
27	2	4
28	2	4
29	2	4
30	2	4
31	2	4
32	2	4
33	2	4
34	2	4
35	2	4
36	2	4
37	3	4
38	3	4
39	3	4
40	3	4
41	3	4
42	3	4
43	3	4
44	3	4
45	3	4
46	3	4
47	3	4
48	3	4
49	3	4
50	3	4
51	3	4
52	3	4
53	4	3
54	4	3
55	4	3
56	4	3
57	4	3
58	4	3
59	4	3
60	4	3
61	4	3
62	4	3
63	4	3
64	4	3
65	4	3
66	4	3
67	4	3
68	4	3
69	4	2
70	4	2
71	4	2
72	4	2
73	4	2
74	4	2
75	4	2
76	4	2
77	4	2
78	4	2
79	4	2
80	5	1
81	5	1
82	5	1
83	5	1
84	5	1
85	5	1
86	5	1
87	5	1
88	5	1
89	5	0
90	5	0
91	5	0
92	5	0
93	5	0
94	5	0
95	5	-1
96	5	-1
97	5	-1
98	5	-1
99	5	-1
100	5	-1
101	5	-1
102	5	-1
103	5	-1
104	4	-2
105	4	-2
106	4	-2
107	4	-2
108	4	-2
109	4	-2
110	4	-2
111	4	-2
112	4	-2
113	4	-2
114	4	-2
115	4	-3
116	4	-3
117	4	-3
118	4	-3
119	4	-3
120	4	-3
121	4	-3
122	4	-3
123	4	-3
124	4	-3
125	4	-3
126	4	-3
127	4	-3
128	4	-3
129	4	-3
130	4	-3
131	3	-4
132	3	-4
133	3	-4
134	3	-4
135	3	-4
136	3	-4
137	3	-4
138	3	-4
139	3	-4
140	3	-4
141	3	-4
142	3	-4
143	3	-4
144	3	-4
145	3	-4
146	3	-4
147	2	-4
148	2	-4
149	2	-4
150	2	-4
151	2	-4
152	2	-4
153	2	-4
154	2	-4
155	2	-4
156	2	-4
157	2	-4
158	2	-4
159	2	-4
160	1	-5
161	1	-5
162	1	-5
163	1	-5
164	1	-5
165	1	-5
166	1	-5
167	1	-5
168	1	-5
169	1	-5
170	1	-5
171	1	-5
172	1	-5
173	0	-5
174	0	-5
175	0	-5
176	0	-5
177	0	-5
178	0	-5
179	0	-5
180	0	-5
181	0	-5
182	0	-5
183	0	-5
184	0	-5
185	-1	-5
186	-1	-5
187	-1	-5
188	-1	-5
189	-1	-5
190	-1	-5
191	-1	-5
192	-1	-5
193	-1	-5
194	-1	-5
195	-1	-5
196	-1	-5
197	-2	-4
198	-2	-4
199	-2	-4
200	-2	-4
201	-2	-4
202	-2	-4
203	-2	-4
204	-2	-4
205	-2	-4
206	-2	-4
207	-2	-4
208	-2	-4
209	-2	-4
210	-3	-4
211	-3	-4
212	-3	-4
213	-3	-4
214	-3	-4
215	-3	-4
216	-3	-4
217	-3	-4
218	-3	-4
219	-3	-4
220	-3	-4
221	-3	-4
222	-3	-4
223	-3	-4
224	-3	-4
225	-3	-4
226	-4	-3
227	-4	-3
228	-4	-3
229	-4	-3
230	-4	-3
231	-4	-3
232	-4	-3
233	-4	-3
234	-4	-3
235	-4	-3
236	-4	-3
237	-4	-3
238	-4	-3
239	-4	-3
240	-4	-3
241	-4	-3
242	-4	-2
243	-4	-2
244	-4	-2
245	-4	-2
246	-4	-2
247	-4	-2
248	-4	-2
249	-4	-2
250	-4	-2
251	-4	-2
252	-4	-2
253	-5	-1
254	-5	-1
255	-5	-1
256	-5	-1
257	-5	-1
258	-5	-1
259	-5	-1
260	-5	-1
261	-5	-1
262	-5	0
263	-5	0
264	-5	0
265	-5	0
266	-5	0
267	-5	0
268	-5	0
269	-5	0
270	-5	0
271	-5	0
272	-5	0
273	-5	0
274	-5	0
275	-5	0
276	-5	0
277	-5	1
278	-5	1
279	-5	1
280	-5	1
281	-5	1
282	-5	1
283	-5	1
284	-5	1
285	-5	1
286	-4	2
287	-4	2
288	-4	2
289	-4	2
290	-4	2
291	-4	2
292	-4	2
293	-4	2
294	-4	2
295	-4	2
296	-4	2
297	-4	3
298	-4	3
299	-4	3
300	-4	3
301	-4	3
302	-4	3
303	-4	3
304	-4	3
305	-4	3
306	-4	3
307	-4	3
308	-4	3
309	-4	3
310	-4	3
311	-4	3
312	-4	3
313	-3	4
314	-3	4
315	-3	4
316	-3	4
317	-3	4
318	-3	4
319	-3	4
320	-3	4
321	-3	4
322	-3	4
323	-3	4
324	-3	4
325	-3	4
326	-3	4
327	-3	4
328	-3	4
329	-2	4
330	-2	4
331	-2	4
332	-2	4
333	-2	4
334	-2	4
335	-2	4
336	-2	4
337	-2	4
338	-2	4
339	-2	4
340	-2	4
341	-2	4
342	-1	5
343	-1	5
344	-1	5
345	-1	5
346	-1	5
347	-1	5
348	-1	5
349	-1	5
350	-1	5
351	-1	5
352	-1	5
353	-1	5
354	-1	5
355	0	5
356	0	5
357	0	5
358	0	5
359	0	5
